kb8_s67167	Protein disulfide-isomerase OS=Oryctolagus cuniculus OX=9986 GN=P4HB PE=2 SV=1 E(blastx)=4e-09
kb8_rep_c12893	Probable enoyl-CoA hydratase 1, peroxisomal OS=Arabidopsis thaliana OX=3702 GN=ECHIA PE=1 SV=1 E(blastx)=5e-64
kb8_c46197	Pentatricopeptide repeat-containing protein At1g74850, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PTAC2 PE=2 SV=1 E(blastx)=3e-09
kb8_rep_c29415	Dynein heavy chain 6, axonemal OS=Homo sapiens OX=9606 GN=DNAH6 PE=2 SV=3 E(blastx)=5e-26
kb8_c24942	Putative ankyrin repeat protein MM_0045 OS=Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) OX=192952 GN=MM_0045 PE=4 SV=1 E(blastx)=3e-15
kb8_s68060	Developmentally-regulated GTP-binding protein 1 OS=Homo sapiens OX=9606 GN=DRG1 PE=1 SV=1 E(blastx)=1e-56
kb8_rep_c22745	Ankyrin-2 OS=Homo sapiens OX=9606 GN=ANK2 PE=1 SV=4 E(blastx)=9e-08
kb8_rep_c16099	Annexin A6 OS=Homo sapiens OX=9606 GN=ANXA6 PE=1 SV=3 E(blastx)=6e-38
kb8_rep_c23	NAD(P)H-dependent D-xylose reductase OS=Scheffersomyces shehatae OX=45589 GN=XYL1 PE=3 SV=1 E(blastx)=9e-61
kb8_c30728	Patched domain-containing protein 3 OS=Mus musculus OX=10090 GN=Ptchd3 PE=1 SV=1 E(blastx)=5e-16
kb8_rep_c7690	Probable folate-biopterin transporter 3 OS=Arabidopsis thaliana OX=3702 GN=At1g79710 PE=2 SV=1 E(blastx)=4e-24
kb8_c19199	Ankyrin repeat and KH domain-containing protein mask OS=Drosophila melanogaster OX=7227 GN=mask PE=1 SV=2 E(blastx)=1e-13
kb8_rep_c10601	Flavin-containing monooxygenase 5 OS=Rattus norvegicus OX=10116 GN=Fmo5 PE=1 SV=3 E(blastx)=5e-08
kb8_c16328	Protein ABHD16B OS=Rattus norvegicus OX=10116 GN=Abhd16b PE=2 SV=1 E(blastx)=3e-08
kb8_c10764	Prolyl 4-hydroxylase subunit alpha OS=Dictyostelium discoideum OX=44689 GN=phyA PE=1 SV=1 E(blastx)=2e-12
kb8_c40569	UDP-galactose transporter senju OS=Drosophila melanogaster OX=7227 GN=senju PE=1 SV=2 E(blastx)=1e-21
kb8_rep_c41513	Cysteine proteinase 3 (Fragment) OS=Entamoeba histolytica OX=5759 GN=CPNP PE=1 SV=1 E(blastx)=2e-10
kb8_s55511	High affinity nitrate transporter 2.5 OS=Arabidopsis thaliana OX=3702 GN=NRT2.5 PE=1 SV=1 E(blastx)=2e-09
kb8_s69667	Sodium-dependent phosphate transport protein 2B OS=Bos taurus OX=9913 GN=SLC34A2 PE=1 SV=1 E(blastx)=4e-12
kb8_s64956	Transcription termination factor MTERF5, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=MTERF5 PE=1 SV=1 E(blastx)=3e-08
kb8_rep_c31638	60S ribosomal protein L34-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL34A PE=1 SV=1 E(blastx)=1e-34
kb8_c36108	Mitochondrial sodium/calcium exchanger protein OS=Homo sapiens OX=9606 GN=SLC8B1 PE=1 SV=2 E(blastx)=2e-14
kb8_c18712	Tetracycline resistance protein, class G OS=Vibrio anguillarum OX=55601 GN=tetA PE=3 SV=1 E(blastx)=8e-07
kb8_s63464	ATP-dependent 6-phosphofructokinase 3 OS=Arabidopsis thaliana OX=3702 GN=PFK3 PE=1 SV=1 E(blastx)=8e-17
kb8_rep_c4014	Cilia- and flagella-associated protein 52 OS=Chlamydomonas reinhardtii OX=3055 GN=CFAP52 PE=1 SV=1 E(blastx)=3e-45
kb8_c11829	Cyclin-dependent kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC28 PE=1 SV=1 E(blastx)=1e-13
kb8_c16932	Voltage-dependent L-type calcium channel subunit alpha-1C OS=Rattus norvegicus OX=10116 GN=Cacna1c PE=1 SV=1 E(blastx)=3e-10
kb8_s64574	14-3-3 protein beta/alpha-1 OS=Oncorhynchus mykiss OX=8022 PE=2 SV=1 E(blastx)=4e-26
kb8_rep_c9087	Tartrate-resistant acid phosphatase type 5 OS=Sus scrofa OX=9823 GN=ACP5 PE=1 SV=4 E(blastx)=5e-14
kb8_c11269	DNA repair protein RAD5B OS=Arabidopsis thaliana OX=3702 GN=RAD5B PE=3 SV=1 E(blastx)=5e-19
kb8_s63998	Caroteno-chlorophyll a-c-binding protein (Fragment) OS=Amphidinium carterae OX=2961 PE=1 SV=1 E(blastx)=2e-12
kb8_c10390	Terminal uridylyltransferase cid1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=cid1 PE=1 SV=2 E(blastx)=5e-18
kb8_rep_c12548	Protein white OS=Anopheles gambiae OX=7165 GN=w PE=2 SV=1 E(blastx)=3e-53
kb8_rep_c9640	Leucine-rich repeat-containing protein 61 OS=Mus musculus OX=10090 GN=Lrrc61 PE=2 SV=1 E(blastx)=5e-16
kb8_rep_c2059	Exportin-2 OS=Danio rerio OX=7955 GN=cse1l PE=1 SV=2 E(blastx)=3e-160
kb8_s68000	Oxygen-evolving enhancer protein 1, chloroplastic OS=Chattonella marina var. antiqua OX=859642 PE=1 SV=1 E(blastx)=5e-47
kb8_c25177	Putative acyl-CoA dehydrogenase AidB OS=Escherichia coli (strain K12) OX=83333 GN=aidB PE=1 SV=3 E(blastx)=8e-37
kb8_rep_c3550	Sodium channel protein type 10 subunit alpha OS=Homo sapiens OX=9606 GN=SCN10A PE=1 SV=2 E(blastx)=2e-10
kb8_s72069	Guanylate kinase 2 OS=Arabidopsis thaliana OX=3702 GN=GK-2 PE=2 SV=1 E(blastx)=5e-10
kb8_c32250	Sulfate adenylyltransferase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=sua1 PE=1 SV=2 E(blastx)=4e-60
kb8_s58843	Peptidyl-prolyl cis-trans isomerase CYP22 OS=Arabidopsis thaliana OX=3702 GN=CYP22 PE=2 SV=1 E(blastx)=7e-39
kb8_rep_c32272	ESX-1 secretion system protein EccA1 OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=eccA1 PE=1 SV=1 E(blastx)=2e-10
kb8_s67499	Protein phosphatase 1B OS=Rattus norvegicus OX=10116 GN=Ppm1b PE=2 SV=1 E(blastx)=4e-16
kb8_c19247	Transmembrane protein DDB_G0269096 OS=Dictyostelium discoideum OX=44689 GN=DDB_G0269096 PE=4 SV=1 E(blastx)=3e-27
kb8_rep_c13413	Solute carrier family 35 member E3 OS=Danio rerio OX=7955 GN=slc35e3 PE=2 SV=1 E(blastx)=1e-16
kb8_rep_c5720	Phosphoenolpyruvate/phosphate translocator 3, chloroplastic OS=Oryza sativa subsp. japonica OX=39947 GN=PPT3 PE=2 SV=1 E(blastx)=1e-36
kb8_c4920	Pheophorbide a oxygenase, chloroplastic OS=Oryza sativa subsp. japonica OX=39947 GN=PAO PE=2 SV=1 E(blastx)=2e-65
kb8_rep_c1197	Penicillin acylase OS=Lysinibacillus sphaericus OX=1421 PE=1 SV=1 E(blastx)=3e-13
kb8_rep_c6324	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2 OS=Homo sapiens OX=9606 GN=PPIP5K2 PE=1 SV=3 E(blastx)=8e-42
kb8_rep_c19378	Tubulin polyglutamylase ttll6 OS=Danio rerio OX=7955 GN=ttll6 PE=2 SV=1 E(blastx)=1e-27
kb8_rep_c34710	Photosystem II CP43 reaction center protein OS=Gracilaria tenuistipitata var. liui OX=285951 GN=psbC PE=3 SV=1 E(blastx)=1e-120
kb8_s61916	Lysine--tRNA ligase, cytoplasmic OS=Arabidopsis thaliana OX=3702 GN=At3g11710 PE=1 SV=1 E(blastx)=1e-18
kb8_rep_c12442	Fucoxanthin-chlorophyll a-c binding protein F, chloroplastic (Fragment) OS=Macrocystis pyrifera OX=35122 GN=FCPF PE=2 SV=1 E(blastx)=6e-17
kb8_c30048	Vacuolar protein sorting-associated protein 33A OS=Rattus norvegicus OX=10116 GN=Vps33a PE=1 SV=1 E(blastx)=1e-11
kb8_s68491	Catechol O-methyltransferase (Fragment) OS=Sus scrofa OX=9823 GN=COMT PE=1 SV=1 E(blastx)=7e-18
kb8_rep_c1190	Cactin OS=Arabidopsis thaliana OX=3702 GN=CTN PE=1 SV=1 E(blastx)=2e-88
kb8_c19429	Vacuolar amino acid transporter 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AVT4 PE=1 SV=1 E(blastx)=6e-45
kb8_rep_c900	E3 ubiquitin-protein ligase RNF13 OS=Mus musculus OX=10090 GN=Rnf13 PE=1 SV=2 E(blastx)=2e-07
kb8_rep_c3058	COBW domain-containing protein 1 OS=Rattus norvegicus OX=10116 GN=Cbwd1 PE=2 SV=2 E(blastx)=9e-14
kb8_c8968	Cilia- and flagella-associated protein 57 OS=Homo sapiens OX=9606 GN=CFAP57 PE=2 SV=3 E(blastx)=1e-06
kb8_c7939	D-inositol 3-phosphate glycosyltransferase OS=Corynebacterium jeikeium (strain K411) OX=306537 GN=mshA PE=3 SV=1 E(blastx)=1e-14
kb8_rep_c1738	ER lumen protein-retaining receptor OS=Drosophila melanogaster OX=7227 GN=KdelR PE=2 SV=1 E(blastx)=9e-13
kb8_c25520	SET domain-containing protein 5 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=set5 PE=1 SV=1 E(blastx)=1e-17
kb8_c28995	Insulin-degrading enzyme OS=Rattus norvegicus OX=10116 GN=Ide PE=1 SV=1 E(blastx)=2e-13
kb8_rep_c28355	Furin-like protease 2 OS=Drosophila melanogaster OX=7227 GN=Fur2 PE=2 SV=2 E(blastx)=3e-06
kb8_c21473	Beta-galactosidase OS=Psychromonas ingrahamii (strain 37) OX=357804 GN=lacZ PE=3 SV=1 E(blastx)=5e-88
kb8_c37338	NAD-dependent protein deacetylase sirtuin-6 OS=Mus musculus OX=10090 GN=Sirt6 PE=1 SV=1 E(blastx)=4e-13
kb8_rep_c10122	Probable dipeptidase A OS=Lactococcus lactis subsp. lactis (strain IL1403) OX=272623 GN=pepDA PE=3 SV=1 E(blastx)=6e-17
kb8_c32296	40S ribosomal protein S15 OS=Picea mariana OX=3335 GN=RPS15 PE=2 SV=1 E(blastx)=1e-61
kb8_c31189	Sesquiterpene phosphatase astI OS=Aspergillus oryzae (strain ATCC 42149 / RIB 40) OX=510516 GN=astI PE=1 SV=1 E(blastx)=2e-05
kb8_rep_c18202	Ankyrin repeat domain-containing protein 65 OS=Homo sapiens OX=9606 GN=ANKRD65 PE=2 SV=2 E(blastx)=2e-19
kb8_c45284	Modification methylase HhaI OS=Haemophilus parahaemolyticus OX=735 GN=hhaIM PE=1 SV=1 E(blastx)=2e-23
kb8_rep_c7689	Protein AIR2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AIR2 PE=1 SV=1 E(blastx)=3e-06
kb8_c41143	Acetylxylan esterase OS=Prevotella ruminicola (strain ATCC 19189 / JCM 8958 / 23) OX=264731 GN=axeA1 PE=1 SV=1 E(blastx)=2e-15
kb8_rep_c15773	Nuclease S1 OS=Aspergillus oryzae (strain ATCC 42149 / RIB 40) OX=510516 GN=nucS PE=1 SV=2 E(blastx)=3e-05
kb8_rep_c5681	Zinc finger Ran-binding domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ZRANB2 PE=1 SV=2 E(blastx)=5e-08
kb8_c11138	DBH-like monooxygenase protein 2 homolog OS=Danio rerio OX=7955 GN=moxd2 PE=2 SV=2 E(blastx)=1e-13
kb8_c11388	Putative surface protein bspA-like OS=Trichomonas vaginalis OX=5722 GN=BSPAL1 PE=4 SV=1 E(blastx)=1e-57
kb8_c9929	Leucine-rich repeat-containing protein 23 OS=Bos taurus OX=9913 GN=LRRC23 PE=2 SV=1 E(blastx)=7e-07
kb8_c8564	Ankyrin-1 OS=Homo sapiens OX=9606 GN=ANK1 PE=1 SV=3 E(blastx)=3e-08
kb8_c34571	Ubiquitin carboxyl-terminal hydrolase 20 OS=Bos taurus OX=9913 GN=USP20 PE=2 SV=1 E(blastx)=2e-07
kb8_c16557	eEF1A lysine and N-terminal methyltransferase OS=Bos taurus OX=9913 GN=EEF1AKNMT PE=2 SV=1 E(blastx)=2e-23
kb8_c19502	Putative oxidoreductase C1F5.03c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC1F5.03c PE=3 SV=1 E(blastx)=3e-28
kb8_c21737	Adenylate kinase 9 OS=Homo sapiens OX=9606 GN=AK9 PE=1 SV=2 E(blastx)=6e-06
kb8_s54259	Photosystem I reaction center subunit XI OS=Cyanidioschyzon merolae (strain 10D) OX=280699 GN=psaL PE=1 SV=1 E(blastx)=7e-21
kb8_c33047	Serine/threonine-protein kinase VPS15 OS=Arabidopsis thaliana OX=3702 GN=VPS15 PE=1 SV=1 E(blastx)=6e-09
kb8_s60996	Tubulin polyglutamylase TTLL4 OS=Homo sapiens OX=9606 GN=TTLL4 PE=1 SV=2 E(blastx)=3e-05
kb8_c13495	Protein mono-ADP-ribosyltransferase TIPARP OS=Mus musculus OX=10090 GN=Tiparp PE=2 SV=1 E(blastx)=2e-08
kb8_rep_c31417	Serine/threonine-protein kinase 33 OS=Bos taurus OX=9913 GN=STK33 PE=2 SV=1 E(blastx)=5e-22
kb8_rep_c5947	Peroxiredoxin sll1621 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1621 PE=1 SV=1 E(blastx)=4e-65
kb8_s58793	ATP-dependent Clp protease ATP-binding subunit ClpA homolog OS=Guillardia theta OX=55529 GN=clpC PE=3 SV=1 E(blastx)=2e-25
kb8_c14829	Chlorophyll a-b binding protein 1B-21, chloroplastic OS=Hordeum vulgare OX=4513 GN=LHC Ib-21 PE=1 SV=1 E(blastx)=5e-11
kb8_rep_c8170	Magnesium transporter NIPA2 OS=Bos taurus OX=9913 GN=NIPA2 PE=2 SV=1 E(blastx)=4e-07
kb8_rep_c18544	Poly [ADP-ribose] polymerase tankyrase-1 OS=Homo sapiens OX=9606 GN=TNKS PE=1 SV=2 E(blastx)=1e-08
kb8_s68537	Putative aldolase class 2 protein CC_1201 OS=Caulobacter vibrioides (strain ATCC 19089 / CB15) OX=190650 GN=CC_1201 PE=3 SV=2 E(blastx)=2e-14
kb8_rep_c2458	Kinesin-like protein KIF2C OS=Macaca fascicularis OX=9541 GN=KIF2C PE=2 SV=1 E(blastx)=9e-53
kb8_c47565	Probable E3 ubiquitin-protein ligase HERC2 OS=Drosophila melanogaster OX=7227 GN=HERC2 PE=1 SV=3 E(blastx)=2e-07
kb8_rep_c3564	Proteasome subunit beta type-4 OS=Arabidopsis thaliana OX=3702 GN=PBG1 PE=1 SV=2 E(blastx)=1e-64
kb8_rep_c11548	Serine/threonine-protein kinase STY17 OS=Arabidopsis thaliana OX=3702 GN=STY17 PE=1 SV=1 E(blastx)=4e-49
kb8_c14192	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform OS=Arabidopsis thaliana OX=3702 GN=PP2AA2 PE=1 SV=2 E(blastx)=6e-114
kb8_c18106	Histone H3 OS=Narcissus pseudonarcissus OX=39639 PE=1 SV=3 E(blastx)=4e-59
kb8_rep_c351	Probable enoyl-CoA hydratase echA12 OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=echA12 PE=1 SV=1 E(blastx)=8e-08
kb8_c5305	Erythromycin 3''-O-methyltransferase OS=Saccharopolyspora erythraea (strain ATCC 11635 / DSM 40517 / JCM 4748 / NBRC 13426 / NCIMB 8594 / NRRL 2338) OX=405948 GN=eryG PE=1 SV=1 E(blastx)=1e-09
kb8_rep_c23220	Parkin coregulated gene protein homolog OS=Mus musculus OX=10090 GN=Pacrg PE=1 SV=1 E(blastx)=4e-56
kb8_c16396	Monooxygenase ptmN OS=Penicillium simplicissimum OX=69488 GN=ptmN PE=3 SV=1 E(blastx)=1e-58
kb8_c36803	Myosin-3 OS=Arabidopsis thaliana OX=3702 GN=VIII-A PE=2 SV=1 E(blastx)=3e-23
kb8_rep_c50085	Peptide methionine sulfoxide reductase MsrA OS=Brucella suis biovar 1 (strain 1330) OX=204722 GN=msrA PE=3 SV=1 E(blastx)=6e-20
kb8_rep_c16142	Anthocyanidin 3-O-glucosyltransferase OS=Gentiana triflora OX=55190 PE=1 SV=1 E(blastx)=2e-18
kb8_rep_c39591	Mannose-6-phosphate isomerase OS=Homo sapiens OX=9606 GN=MPI PE=1 SV=2 E(blastx)=3e-12
kb8_rep_c37015	Soluble pyridine nucleotide transhydrogenase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=sthA PE=3 SV=3 E(blastx)=9e-18
kb8_c32133	Ankyrin-1 OS=Homo sapiens OX=9606 GN=ANK1 PE=1 SV=3 E(blastx)=1e-08
kb8_rep_c9379	25S rRNA (uridine-N(3))-methyltransferase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=bmt5 PE=3 SV=1 E(blastx)=2e-09
kb8_c43092	17-beta-hydroxysteroid dehydrogenase 13 OS=Homo sapiens OX=9606 GN=HSD17B13 PE=1 SV=1 E(blastx)=9e-08
kb8_rep_c8327	cAMP-dependent protein kinase regulatory subunit OS=Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) OX=227321 GN=pkaR PE=3 SV=1 E(blastx)=5e-44
kb8_rep_c46278	Molybdate-anion transporter OS=Xenopus tropicalis OX=8364 GN=mfsd5 PE=2 SV=1 E(blastx)=1e-11
kb8_rep_c14722	Calmodulin-like protein 5 OS=Homo sapiens OX=9606 GN=CALML5 PE=1 SV=2 E(blastx)=2e-06
kb8_rep_c6056	Lysosomal aspartic protease OS=Aedes aegypti OX=7159 GN=AAEL006169 PE=1 SV=2 E(blastx)=2e-64
kb8_s71188	Protein disulfide-isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PDI1 PE=1 SV=2 E(blastx)=2e-07
kb8_c26317	Xaa-Pro dipeptidase OS=Rattus norvegicus OX=10116 GN=Pepd PE=2 SV=1 E(blastx)=2e-109
kb8_s71678	60S ribosomal protein L8 OS=Drosophila melanogaster OX=7227 GN=RpL8 PE=1 SV=1 E(blastx)=3e-38
kb8_rep_c858	Chaperonin CPN60-2, mitochondrial OS=Cucurbita maxima OX=3661 GN=CPN60-2 PE=1 SV=1 E(blastx)=2e-85
kb8_rep_c7714	Protein mono-ADP-ribosyltransferase TIPARP OS=Mus musculus OX=10090 GN=Tiparp PE=2 SV=1 E(blastx)=6e-08
kb8_c34011	TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L OS=Homo sapiens OX=9606 GN=TAF5L PE=1 SV=1 E(blastx)=8e-06
kb8_c33677	Lysosomal Pro-X carboxypeptidase OS=Bos taurus OX=9913 GN=PRCP PE=2 SV=1 E(blastx)=9e-50
kb8_c14316	Protein transport protein SEC13 homolog B OS=Arabidopsis thaliana OX=3702 GN=SEC13B PE=1 SV=1 E(blastx)=2e-76
kb8_c30317	Glycine-rich protein 2 OS=Nicotiana sylvestris OX=4096 GN=GRP-2 PE=2 SV=1 E(blastx)=4e-06
kb8_s57998	ATP synthase subunit beta OS=Streptococcus mutans serotype c (strain ATCC 700610 / UA159) OX=210007 GN=atpD PE=3 SV=3 E(blastx)=5e-06
kb8_rep_c10222	Ankyrin repeat family A protein 2 OS=Homo sapiens OX=9606 GN=ANKRA2 PE=1 SV=1 E(blastx)=3e-16
kb8_rep_c39586	Peptidyl-prolyl cis-trans isomerase FKBP1A OS=Bos taurus OX=9913 GN=FKBP1A PE=1 SV=2 E(blastx)=2e-24
kb8_s66607	Calmodulin OS=Prorocentrum minimum OX=39449 PE=2 SV=1 E(blastx)=3e-76
kb8_c38527	Putative serine/threonine-protein kinase-like protein CCR3 OS=Arabidopsis thaliana OX=3702 GN=CCR3 PE=2 SV=1 E(blastx)=6e-13
kb8_s67442	40S ribosomal protein S4 OS=Dictyostelium discoideum OX=44689 GN=rps4 PE=1 SV=3 E(blastx)=5e-42
kb8_rep_c1850	Pumilio homolog 2 OS=Xenopus laevis OX=8355 GN=pum2 PE=1 SV=1 E(blastx)=2e-24
kb8_c50661	Transcription termination factor MTERF5, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=MTERF5 PE=1 SV=1 E(blastx)=2e-06
kb8_s62619	Nicotinamide phosphoribosyltransferase OS=Mus musculus OX=10090 GN=Nampt PE=1 SV=1 E(blastx)=8e-08
kb8_c12409	F-box DNA helicase 1 OS=Gallus gallus OX=9031 GN=FBH1 PE=2 SV=2 E(blastx)=7e-10
kb8_c36543	DnaJ homolog subfamily B member 14 OS=Xenopus laevis OX=8355 GN=dnajb14 PE=2 SV=1 E(blastx)=1e-05
kb8_rep_c9683	Palmitoyltransferase ZDHHC20-B OS=Danio rerio OX=7955 GN=zdhhc20b PE=3 SV=3 E(blastx)=7e-35
kb8_s54194	Probable glucuronosyltransferase GUT1 OS=Oryza sativa subsp. japonica OX=39947 GN=GUT1 PE=2 SV=2 E(blastx)=2e-06
kb8_c40905	Short-type peptidyl-prolyl cis-trans isomerase OS=Methanothermococcus thermolithotrophicus OX=2186 PE=1 SV=2 E(blastx)=4e-06
kb8_c24408	Serine/threonine-protein kinase StkP OS=Streptococcus pneumoniae OX=1313 GN=stkP PE=1 SV=1 E(blastx)=3e-15
kb8_rep_c551	Metallophosphoesterase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=MPPED1 PE=1 SV=3 E(blastx)=3e-25
kb8_c13024	Tudor domain-containing protein 1 OS=Homo sapiens OX=9606 GN=TDRD1 PE=1 SV=2 E(blastx)=5e-06
kb8_c10193	Adhesion G protein-coupled receptor B1 OS=Mus musculus OX=10090 GN=Adgrb1 PE=1 SV=1 E(blastx)=2e-08
kb8_c34086	Mycocerosic acid synthase OS=Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97) OX=233413 GN=mas PE=1 SV=2 E(blastx)=6e-25
kb8_c24181	Ethanolamine-phosphate cytidylyltransferase OS=Arabidopsis thaliana OX=3702 GN=PECT1 PE=1 SV=1 E(blastx)=3e-07
kb8_s52459	Photosystem II D2 protein OS=Thalassiosira pseudonana OX=35128 GN=psbD PE=3 SV=1 E(blastx)=6e-09
kb8_rep_c25276	Serine/threonine-protein kinase DCLK1 OS=Rattus norvegicus OX=10116 GN=Dclk1 PE=1 SV=1 E(blastx)=2e-28
kb8_rep_c6446	Cyclin CCL1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCL1 PE=1 SV=1 E(blastx)=1e-13
kb8_s68646	DNA topoisomerase 2 OS=Pisum sativum OX=3888 GN=TOP2 PE=2 SV=1 E(blastx)=6e-13
kb8_c40019	Pentatricopeptide repeat-containing protein At2g31400, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At2g31400 PE=2 SV=1 E(blastx)=4e-18
kb8_s65864	Ubiquitin-conjugating enzyme E2 6 OS=Ashbya gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) OX=284811 GN=UBC6 PE=3 SV=1 E(blastx)=9e-26
kb8_c22068	Alpha-glucan water dikinase, chloroplastic OS=Citrus reticulata OX=85571 GN=R1 PE=2 SV=1 E(blastx)=1e-28
kb8_rep_c13496	Thiol protease SEN102 OS=Hemerocallis sp. OX=29711 GN=SEN102 PE=2 SV=1 E(blastx)=9e-49
kb8_rep_c13144	Mesenchyme-specific cell surface glycoprotein OS=Strongylocentrotus purpuratus OX=7668 PE=2 SV=2 E(blastx)=5e-14
kb8_rep_c16333	Protein PIN-LIKES 2 OS=Arabidopsis thaliana OX=3702 GN=PILS2 PE=2 SV=1 E(blastx)=8e-11
kb8_rep_c6201	Coiled-coil domain-containing protein 189 OS=Mus musculus OX=10090 GN=Ccdc189 PE=1 SV=2 E(blastx)=2e-16
kb8_rep_c46332	Serine/threonine-protein kinase TNNI3K OS=Rattus norvegicus OX=10116 GN=Tnni3k PE=2 SV=3 E(blastx)=4e-14
kb8_s66026	V-type proton ATPase subunit F OS=Arabidopsis thaliana OX=3702 GN=VHA-F PE=2 SV=1 E(blastx)=4e-20
kb8_rep_c15730	Calcium-dependent protein kinase 3 OS=Plasmodium yoelii yoelii OX=73239 GN=CPK3 PE=3 SV=1 E(blastx)=2e-21
kb8_c32215	Probable polygalacturonase OS=Vitis vinifera OX=29760 GN=GSVIVT00026920001 PE=1 SV=1 E(blastx)=1e-30
kb8_c31203	7,8-dihydro-8-oxoguanine triphosphatase OS=Homo sapiens OX=9606 GN=NUDT1 PE=1 SV=3 E(blastx)=6e-10
kb8_c21763	Bardet-Biedl syndrome 5 protein homolog OS=Xenopus laevis OX=8355 GN=bbs5 PE=2 SV=1 E(blastx)=1e-62
kb8_rep_c1063	Phosphatidylinositol 4-phosphate 5-kinase 4 OS=Arabidopsis thaliana OX=3702 GN=PIP5K4 PE=4 SV=1 E(blastx)=3e-26
kb8_c22572	2,3-dimethylmalate lyase OS=Eubacterium barkeri OX=1528 GN=Dml PE=1 SV=1 E(blastx)=3e-83
kb8_rep_c24839	Sodium/hydrogen exchanger 7 OS=Arabidopsis thaliana OX=3702 GN=NHX7 PE=1 SV=1 E(blastx)=2e-25
kb8_s65092	2-(3-amino-3-carboxypropyl)histidine synthase subunit 1 OS=Yarrowia lipolytica (strain CLIB 122 / E 150) OX=284591 GN=DPH1 PE=3 SV=1 E(blastx)=2e-34
kb8_rep_c8111	Sodium channel protein type 5 subunit alpha OS=Homo sapiens OX=9606 GN=SCN5A PE=1 SV=2 E(blastx)=6e-06
kb8_c23835	Regulator of nonsense transcripts 1 OS=Homo sapiens OX=9606 GN=UPF1 PE=1 SV=2 E(blastx)=3e-45
kb8_rep_c20645	RING-H2 finger protein ATL57 OS=Arabidopsis thaliana OX=3702 GN=ATL57 PE=2 SV=1 E(blastx)=5e-07
kb8_s45167	Tubulin polyglutamylase ttll6 OS=Danio rerio OX=7955 GN=ttll6 PE=2 SV=1 E(blastx)=8e-11
kb8_c13731	Kinesin-like protein unc-104 OS=Caenorhabditis elegans OX=6239 GN=unc-104 PE=1 SV=4 E(blastx)=2e-101
kb8_s60436	Ankyrin-2 OS=Mus musculus OX=10090 GN=Ank2 PE=1 SV=2 E(blastx)=2e-09
kb8_rep_c17002	Tenascin-X OS=Homo sapiens OX=9606 GN=TNXB PE=1 SV=5 E(blastx)=3e-24
kb8_c22891	cAMP-dependent protein kinase type 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TPK2 PE=1 SV=2 E(blastx)=5e-15
kb8_rep_c6967	Pre-mRNA splicing factor SR-like 1 OS=Arabidopsis thaliana OX=3702 GN=SRL1 PE=1 SV=1 E(blastx)=3e-15
kb8_s65532	Ribosome biogenesis protein BRX1 homolog OS=Xenopus laevis OX=8355 GN=brix1 PE=2 SV=1 E(blastx)=2e-15
kb8_s52987	Acyl-CoA dehydrogenase apdG OS=Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) OX=227321 GN=apdG PE=2 SV=1 E(blastx)=5e-44
kb8_rep_c982	Bactericidal permeability-increasing protein OS=Homo sapiens OX=9606 GN=BPI PE=1 SV=4 E(blastx)=5e-09
